53 102 -> 48 fr=1728 (0.2127), cf=1.000, gamma=4.701, delta=0.167, M=-4.200e+03
38 58 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
94 110 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
38 102 110 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
24 102 110 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
90 102 110 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
34 58 90 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
58 86 90 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
38 86 94 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
24 38 86 102 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
24 86 94 102 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
86 90 94 102 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
24 86 90 102 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
24 34 36 58 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
24 36 58 86 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
1 24 36 38 110 -> 48 fr=1728 (0.2127), cf=0.956, gamma=4.493, delta=0.165, M=-3.875e+03
1 102 -> 48 fr=1728 (0.2127), cf=0.954, gamma=4.483, delta=0.165, M=-3.863e+03
24 36 102 -> 48 fr=1728 (0.2127), cf=0.954, gamma=4.483, delta=0.165, M=-3.863e+03
34 36 39 59 -> 23 fr=2872 (0.3535), cf=1.000, gamma=2.406, delta=0.207, M=-3.854e+03
36 39 59 86 -> 23 fr=2872 (0.3535), cf=1.000, gamma=2.406, delta=0.207, M=-3.854e+03
38 94 -> 48 fr=1728 (0.2127), cf=0.952, gamma=4.474, delta=0.165, M=-3.851e+03
24 38 102 -> 48 fr=1728 (0.2127), cf=0.952, gamma=4.474, delta=0.165, M=-3.851e+03
38 86 102 -> 48 fr=1728 (0.2127), cf=0.952, gamma=4.474, delta=0.165, M=-3.851e+03
24 94 102 -> 48 fr=1728 (0.2127), cf=0.952, gamma=4.474, delta=0.165, M=-3.851e+03
90 94 102 -> 48 fr=1728 (0.2127), cf=0.952, gamma=4.474, delta=0.165, M=-3.851e+03
24 90 102 -> 48 fr=1728 (0.2127), cf=0.952, gamma=4.474, delta=0.165, M=-3.851e+03
86 90 102 -> 48 fr=1728 (0.2127), cf=0.952, gamma=4.474, delta=0.165, M=-3.851e+03
38 102 -> 48 fr=1728 (0.2127), cf=0.947, gamma=4.454, delta=0.165, M=-3.827e+03
102 110 -> 48 fr=1728 (0.2127), cf=0.947, gamma=4.454, delta=0.165, M=-3.827e+03
90 102 -> 48 fr=1728 (0.2127), cf=0.947, gamma=4.454, delta=0.165, M=-3.827e+03
38 53 -> 48 fr=1728 (0.2127), cf=0.947, gamma=4.454, delta=0.165, M=-3.827e+03
29 56 -> 101 fr=1584 (0.1950), cf=1.000, gamma=4.978, delta=0.156, M=-3.790e+03
29 39 -> 101 fr=1584 (0.1950), cf=1.000, gamma=4.978, delta=0.156, M=-3.790e+03
1 39 90 -> 101 fr=1584 (0.1950), cf=1.000, gamma=4.978, delta=0.156, M=-3.790e+03
1 24 38 110 -> 48 fr=1728 (0.2127), cf=0.931, gamma=4.377, delta=0.164, M=-3.737e+03
1 24 36 38 -> 48 fr=1728 (0.2127), cf=0.931, gamma=4.377, delta=0.164, M=-3.737e+03
1 53 110 -> 48 fr=1728 (0.2127), cf=0.923, gamma=4.340, delta=0.164, M=-3.695e+03
58 110 -> 48 fr=1728 (0.2127), cf=0.919, gamma=4.321, delta=0.163, M=-3.675e+03
24 36 38 110 -> 48 fr=1728 (0.2127), cf=0.919, gamma=4.321, delta=0.163, M=-3.675e+03
34 36 39 93 -> 23 fr=2824 (0.3476), cf=0.994, gamma=2.393, delta=0.202, M=-3.648e+03
36 39 86 93 -> 23 fr=2824 (0.3476), cf=0.994, gamma=2.393, delta=0.202, M=-3.648e+03
34 36 93 -> 23 fr=3080 (0.3791), cf=0.937, gamma=2.254, delta=0.211, M=-3.628e+03
36 86 93 -> 23 fr=3080 (0.3791), cf=0.937, gamma=2.254, delta=0.211, M=-3.628e+03
